timestamp,agent_name,provider,model,duration_ms,input_tokens,output_tokens,cache_read_tokens,cache_write_tokens,estimated_cost_usd
2026-05-05T04:20:58.018Z,org-list-gatekeeper,anthropic,claude-sonnet-4-6,34288,2171,1838,0,0,0.034083
2026-05-05T04:21:00.010Z,skeptic,anthropic,claude-sonnet-4-6,36504,1157,1688,0,7519,0.053516
2026-05-05T04:21:10.768Z,intake,anthropic,claude-sonnet-4-6,46987,132,2383,0,6033,0.058369
2026-05-05T04:21:12.230Z,orchestration,anthropic,claude-sonnet-4-6,47833,162,2216,0,4407,0.049766
2026-05-05T04:21:16.113Z,org-list-gatekeeper,anthropic,claude-sonnet-4-6,18092,2169,920,0,0,0.020307
2026-05-05T04:21:16.252Z,manifest-gatekeeper,anthropic,claude-sonnet-4-6,52746,383,2539,0,7468,0.066090
2026-05-05T04:21:33.086Z,org-list-gatekeeper,anthropic,claude-sonnet-4-6,16973,2193,879,0,0,0.019764
2026-05-05T04:21:36.145Z,manifest-gatekeeper,anthropic,claude-sonnet-4-6,19891,302,981,7468,0,0.016955
2026-05-05T04:21:36.914Z,skeptic,anthropic,claude-sonnet-4-6,36901,963,2043,7519,0,0.032901
2026-05-05T04:21:53.806Z,intake,anthropic,claude-sonnet-4-6,43035,21,2193,6033,111,0.035121
2026-05-05T04:21:56.675Z,org-list-gatekeeper,anthropic,claude-sonnet-4-6,23586,2205,1194,0,0,0.024525
2026-05-05T04:22:06.734Z,manifest-gatekeeper,anthropic,claude-sonnet-4-6,30586,277,1517,7468,0,0.024995
2026-05-05T04:22:28.755Z,manifest-gatekeeper,anthropic,claude-sonnet-4-6,22020,264,1118,7468,0,0.019010
2026-05-05T04:22:29.675Z,org-list-gatekeeper,anthropic,claude-sonnet-4-6,32999,2195,1624,0,0,0.030945
2026-05-05T04:22:48.373Z,intake,anthropic,claude-sonnet-4-6,54564,21,2844,6033,111,0.044886
2026-05-05T04:23:05.480Z,security,anthropic,claude-sonnet-4-6,161555,150,7572,0,3744,0.127620
2026-05-05T04:23:18.497Z,intake,anthropic,claude-sonnet-4-6,30122,77,1558,6033,0,0.025180
2026-05-05T04:23:43.379Z,intake,anthropic,claude-sonnet-4-6,24879,21,1296,6033,56,0.021460
2026-05-05T04:24:39.430Z,intake,anthropic,claude-sonnet-4-6,56048,116,2904,6033,0,0.045370
2026-05-05T04:25:35.630Z,intake,anthropic,claude-sonnet-4-6,56198,21,2869,6033,95,0.045201
2026-05-05T04:26:01.412Z,security,anthropic,claude-sonnet-4-6,175930,156,8192,3744,0,0.124003
2026-05-05T04:26:02.159Z,skeptic,anthropic,claude-sonnet-4-6,29251,1157,1414,7519,0,0.023466
2026-05-05T04:26:04.902Z,org-list-gatekeeper,anthropic,claude-sonnet-4-6,31788,2171,1671,0,0,0.031578
2026-05-05T04:26:15.223Z,intake,anthropic,claude-sonnet-4-6,42043,21,2128,6033,111,0.034146
2026-05-05T04:26:23.072Z,org-list-gatekeeper,anthropic,claude-sonnet-4-6,18168,2169,901,0,0,0.020022
2026-05-05T04:26:26.552Z,orchestration,anthropic,claude-sonnet-4-6,52738,162,2313,4407,0,0.036017
2026-05-05T04:26:30.286Z,manifest-gatekeeper,anthropic,claude-sonnet-4-6,57382,383,2863,7468,0,0.045185
2026-05-05T04:26:37.703Z,skeptic,anthropic,claude-sonnet-4-6,35541,963,1807,7519,0,0.029361
2026-05-05T04:26:40.085Z,org-list-gatekeeper,anthropic,claude-sonnet-4-6,17010,2193,923,0,0,0.020424
2026-05-05T04:26:41.321Z,intake,anthropic,claude-sonnet-4-6,65689,21,3346,6033,95,0.052356
2026-05-05T04:26:51.592Z,manifest-gatekeeper,anthropic,claude-sonnet-4-6,21304,302,1082,7468,0,0.018470
2026-05-05T04:27:01.183Z,org-list-gatekeeper,anthropic,claude-sonnet-4-6,21097,2205,1037,0,0,0.022170
2026-05-05T04:27:03.329Z,intake,anthropic,claude-sonnet-4-6,48102,21,2206,6033,111,0.035316
2026-05-05T04:27:25.692Z,manifest-gatekeeper,anthropic,claude-sonnet-4-6,34098,277,1653,7468,0,0.027035
2026-05-05T04:27:34.702Z,org-list-gatekeeper,anthropic,claude-sonnet-4-6,33518,2195,1709,0,0,0.032220
2026-05-05T04:27:45.892Z,manifest-gatekeeper,anthropic,claude-sonnet-4-6,20199,264,1026,7468,0,0.017630
2026-05-05T04:27:47.397Z,intake,anthropic,claude-sonnet-4-6,44065,21,2201,6033,111,0.035241
2026-05-05T04:28:18.835Z,intake,anthropic,claude-sonnet-4-6,31436,21,1645,6033,56,0.026695
2026-05-05T04:28:44.042Z,intake,anthropic,claude-sonnet-4-6,25205,21,1344,6033,56,0.022180
2026-05-05T04:29:53.454Z,intake,anthropic,claude-sonnet-4-6,69409,21,3414,6033,95,0.053376
2026-05-05T04:31:04.623Z,intake,anthropic,claude-sonnet-4-6,71166,21,3446,6033,95,0.053856
2026-05-05T04:31:59.101Z,intake,anthropic,claude-sonnet-4-6,54476,21,2775,6033,95,0.043791
2026-05-05T04:40:02.765Z,skeptic,anthropic,claude-sonnet-4-6,28991,1157,1333,0,7519,0.048191
2026-05-05T04:40:07.856Z,org-list-gatekeeper,anthropic,claude-sonnet-4-6,33853,2171,1710,0,0,0.032163
2026-05-05T04:40:22.050Z,intake,anthropic,claude-sonnet-4-6,48001,132,2365,0,6033,0.058099
2026-05-05T04:40:24.648Z,orchestration,anthropic,claude-sonnet-4-6,49965,162,2353,0,4407,0.051821
2026-05-05T04:40:29.400Z,manifest-gatekeeper,anthropic,claude-sonnet-4-6,55628,383,2790,0,7468,0.069855
2026-05-05T04:40:29.522Z,org-list-gatekeeper,anthropic,claude-sonnet-4-6,21662,2169,1062,0,0,0.022437
2026-05-05T04:40:35.613Z,skeptic,anthropic,claude-sonnet-4-6,32843,963,1709,7519,0,0.027891
